"Latitude" "Longitude" "Crop" "Se" "Zn" "ph" "N_pct" "org" "Bio1" "Bio12" "TIM"
-14.8503525881096 34.8902785498648 "Maize" 0.05203 21.358 6.93 0.1346 2.134 224.057792134278 990.172422500403 13.1082376243683
-14.8599877953529 34.8352710530161 "Maize" 0.01545 16.465 6.64 0.0489 0.6553 216.811546204298 1157.04412624198 8.58064528247466
-14.8593342164531 34.8351909220218 "Maize" 0.02871 18.591 5.96 0.0366 0.4743 216.822091464996 1147.49718423332 8.82982274076822
-14.7945167915895 34.9076264072209 "Maize" 0.00443 18.826 5.9 0.0667 0.9431 225 931.650198072741 11.6589576970211
-14.7949070110917 34.90571860224 "Maize" 0.05294 23.341 7.26 0.1446 2.0652 225 922 10.8967280478252
-14.7787672793492 34.8263713158667 "Maize" 0.19185 24.302 7.24 0.0536 0.8234 223.743053178192 977.444596595744 13.0614885679573
-14.7782317176461 34.8257363028824 "Maize" 0.2615 22.781 6.78 0.06 0.8769 223.837212998467 973.911858213662 12.5968200812045
-14.731113561429 34.8020708374679 "Maize" 0.04533 22.873 6.37 0.0617 0.835 225.99818381973 900.154375322992 12.499992107086
-14.7300511132925 34.7996279317885 "Maize" 0.03343 30.775 6.46 0.0649 0.9637 225.521732022977 940.652778046929 12.6708602982565
-14.6902211895212 34.7864820063114 "Maize" 0.01354 27.44 6.83 0.0556 0.8826 228 906 11.6944185183568
-14.8108207248151 34.9315139930695 "Maize" 0.07967 30.542 7.27 0.0505 0.6809 224.994238762625 986.826211053988 10.004588231746
-14.8107825033366 34.9322920851409 "Maize" 0.03707 28.812 6.91 0.041 0.67 224.925786221991 994.714445313924 10.3196529533702
-14.754617633298 34.8521271441131 "Maize" 0.00984 14.443 7.39 0.1508 1.9462 226 808.241885671093 12.4811360747646
-15.2529750019311 34.8077526781708 "Maize" 0.00505 30.622 6.95 0.0711 0.8785 232.199955350421 1090.60276827387 10.6515573791562
-15.252686664462 34.8064836580306 "Maize" 0.12974 21.715 6.77 0.062 0.8847 232.214602876618 1095.05864573299 11.2445503019454
-15.1955001242458 34.8416407126933 "Maize" 0.02813 25.102 6.85 0.105 1.254 233 869.533786433635 13.042568848263
-15.1600369205698 34.7483372222632 "Maize" 0.01407 26.056 7 0.0478 0.7997 207.058567531163 1304.69211598067 8.80700393253718
-15.1596972439438 34.7481292672455 "Maize" 0.02459 22.9 7.35 0.1012 1.4499 207.058567531163 1304.69211598067 8.80700393253718
-15.0809989264234 34.8553814180195 "Maize" 0.01566 27.892 6.95 0.048 0.6053 226 1081.28602909996 10.3122221482074
-15.0826305896043 34.8548875562846 "Maize" 0.0216 23.294 6.56 0.0534 0.674 226 1064.33862392298 10.4885635132252
-15.1127725001424 34.7120777796953 "Maize" 0.02053 18.134 6.12 0.0683 0.9914 196 1292 8.38969719546472
-15.1129657030105 34.7122020833194 "Maize" 0.04915 25.325 6.38 0.0554 0.8221 196 1292 8.40356511438918
-15.0860407669097 34.7817934211343 "Maize" 0.02483 24.897 6.95 0.113 1.47 221.689537970475 1168.76155073811 11.8525795825741
-15.0117855286225 34.8917303793132 "Maize" 0.02081 19.167 5.99 0.0435 0.5255 224 1144.96642317494 9.44512239451584
-16.0695469658821 35.1434405241161 "Maize" 0.02441 25.111 6.32 0.104 1.465 205 1333.94087141383 8.69769573937826
-16.0916690295562 35.1924102008342 "Maize" 0.01437 23.042 5.67 0.0488 0.6267 212.251178713977 1353.94395223649 9.04598271064835
-16.0582382697612 35.2417534589767 "Maize" 0.04842 20.901 5.87 0.058 0.772 215.642616526584 1352.27717732548 11.9069923308754
-16.0097516840323 35.2962515875697 "Maize" 0.0151 22.82 6.05 0.0829 1.181 218.25201760927 1374.70763020534 8.94273061175769
-16.0032238578423 35.2890019118785 "Maize" 0.00924 25.217 6.01 0.0905 1.247 218 1377 10.9584317968717
-16.0113350255414 35.1345624122768 "Maize" 0.00788 16.658 6.05 0.0737 1.034 201 1339.26249890672 8.3613664711844
-15.9953873232007 35.1568955741822 "Maize" 0.01139 17.756 5.72 0.0672 1.118 203.965806341927 1330.85484145183 10.815321909814
-15.9872208768501 35.1976457051932 "Maize" 0.0405 15.137 5.91 0.046 0.5842 208.05375646708 1354.69883407204 8.14604323084221
-16.0070324689149 35.1975040510296 "Maize" 0.01508 18.545 5.92 0.0507 0.6415 210.100189168472 1351.66979600347 10.1088098133483
-16.0159646859392 35.3171905037015 "Maize" 0.03159 21.929 5.59 0.0955 1.832 220 1270.33969236997 10.7622501050804
-16.0134978918358 35.3107956144958 "Maize" 0.00124 21.084 5.73 0.1248 2.097 219.957324576683 1290.30447285911 10.9106094744364
-16.347077563405 35.2548768371343 "Maize" 0.12058 34.967 6.29 0.0873 1.188 239.126030101298 1259.49466388876 10.9562656274471
-16.3401275407522 35.2113445848226 "Maize" 0.08104 22.979 6.21 0.1069 1.317 232.632193372338 1301.13861004039 10.878125982838
-16.300971857272 35.209286911413 "Maize" 0.38774 20.985 5.72 0.1067 1.465 218.182647276506 1397.69577435067 7.96388225450175
-16.2981179868802 35.2067304309457 "Maize" 0.03524 20.823 5.91 0.116 1.483 213.904552133012 1409.33186493109 8.65949165639436
-15.9334904886782 35.0839503016322 "Maize" 0.01064 19.258 5.7 0.0628 0.8092 192 1346.04909685261 8.9453370175582
-15.9388903202489 35.0860478729009 "Maize" 0.02583 20.832 5.55 0.0877 1.191 192 1354 8.75830941317093
-15.917684440501 35.1200811658054 "Maize" 0.009 19.99 5.99 0.1109 1.371 199.691719623171 1309.23312150731 8.87894744094377
-15.9153275750577 35.1228624489158 "Maize" 0.0458 17.846 6.18 0.0697 0.906 199.065009905257 1311.73996037897 8.84457963215256
-15.8927262760698 35.150509737432 "Maize" 0.01069 21.069 6.03 0.0255 0.298 203.945619291529 1261.23312814858 8.07634611202064
-15.8580710878595 35.1922817900776 "Maize" 0.01101 20.25 5.84 0.0324 0.3837 210.278664667478 1173.35836797189 11.4895068773097
-15.875032749027 35.0993261486291 "Maize" 0.00635 16.122 6.09 0.2303 3.334 198.853884916474 1264.54491195174 9.26639408305327
-15.9690213343128 35.120595563203 "Maize" 0.01819 15.057 5.67 0.1373 1.868 194 1378 8.8702028837006
-15.9696462890133 35.1291895285248 "Maize" 0.02872 22.409 5.53 0.0657 0.9305 196 1379 8.26288382455869
-15.944188311696 35.1645650994032 "Maize" 0.01021 23.893 6.32 0.0924 1.013 205.965689348683 1299.0293195395 11.3937824152941
-15.9345065429806 35.2026376314461 "Maize" 0.02123 14 5.75 0.063 0.8497 209.713711658741 1355.72131586115 10.2795074657866
-15.9191467054188 35.202999394387 "Maize" 0.04938 26.682 6.63 0.205 2.375 209.153037273375 1323.48014271238 9.25414899023363
-16.1102942051365 35.0815217290073 "Maize" 0.01114 15.538 6.68 0.1992 2.658 208 1159.46087578765 9.58464117907341
-16.1263635708019 35.1262388471514 "Maize" 0.01905 23.628 6.37 0.0773 0.9751 213.056491884853 1187.8472859915 11.9020872470074
-16.2752452399581 35.2653909288346 "Maize" 0.05453 26.656 6.4 0.1093 1.345 228.07384073271 1408.73210112198 7.8811510242892
-16.2669761991128 35.1950647495687 "Maize" 0.02866 23.897 5.62 0.1932 2.58 219.346930329353 1174.27358932319 8.6514163048762
-16.2685803277418 35.1383032556623 "Maize" 0.0308 25.186 5.51 0.1094 1.363 215 1074 7.14648601091868
-16.2312148092314 35.1381408143788 "Maize" 0.05632 22.3 5.93 0.1553 2.42 204 1303 7.73217070448758
-16.2279816577211 35.0846276432275 "Maize" 0.00685 18.45 6.15 0.0939 1.15 208.088977801095 1174.03186628194 8.42984875707591
-16.1652343533933 35.0707094091922 "Maize" 0.0089 24.862 5.7 0.144 1.71 214.77639258002 842.482415306344 9.05758736418806
-16.1856581177562 35.1282394398003 "Maize" 0.03316 35.214 6.19 0.0538 0.6726 211.69381272533 1135.11974508624 8.8569477180838
-16.1842598067596 35.131409894675 "Maize" 0.0303 21.872 5.91 0.0997 1.214 212.386317114678 1131.81842454089 7.97726123673208
-16.1905180290341 35.1863272022455 "Maize" 0.02166 23.941 6 0.0764 0.9688 215.24533538332 1257.13183020928 8.56110597688279
-16.2158056022599 35.2410773746669 "Maize" 0.04667 23.577 5.94 0.1005 1.217 218.767167641603 1412.10659448453 8.28204479640571
-16.1987659055739 35.2832793351262 "Maize" 0.02553 25.896 6.49 0.158 1.775 231.280981758329 1255.85773064934 11.2280200239986
-16.0368194058537 35.3031947370618 "Maize" 0.06048 24.082 5.93 0.0683 0.7561 219 1387 9.12855194851488
-15.9905208740383 35.2435529697686 "Maize" 0.01515 15.75 5.62 0.0571 0.7186 215 1345.00504586758 10.9632824366478
-16.0863282065838 35.2852810174226 "Maize" 0.02983 30.659 5.83 0.1362 1.285 217.980299512403 1508.64539122325 10.0647632887245
-16.1232280684635 35.2772094123065 "Maize" 0.01333 25.21 6.49 0.1119 1.222 219.146695010505 1533.06609978991 11.2008273148593
-16.122986250557 35.323645574972 "Maize" NA 21.792 6.47 0.0534 0.6414 226.252220815695 1308.06454803448 9.94308861990397
-16.1484966147691 35.236962782219 "Maize" 0.02659 24.395 6.43 0.1468 1.707 223.202733719439 1271.84964543083 8.55748622426707
-16.0990853374823 35.040696747601 "Maize" 0.01805 17.493 5.37 0.2422 3.221 202.252579515186 1228.06598746267 7.08245133897344
-16.0508360434323 35.0558712612837 "Maize" 0.0167 17.09 5.29 0.1164 1.41 193.155286989994 1322.96878188347 7.43855008123722
-15.9887444553896 35.080392519012 "Maize" 0.03108 24.634 6.09 0.1933 2.291 190 1357.35830893452 9.27669350225809
-15.9465302573516 35.0326991546899 "Maize" 0.01362 20.079 5.75 0.0498 0.5472 198.716822206797 937.079444830073 11.237503305074
-15.9478732477873 34.9798562843352 "Maize" 0.00897 23.301 6.11 0.1145 0.9693 215.061096844235 848.987117882669 8.18679051033647
-16.1306826816871 35.1815986353904 "Maize" 0.03227 23.755 5.97 0.0903 0.8712 218 1306 8.12383933511069
-16.0037569049745 35.0285101309418 "Maize" 0.01777 18.303 5.34 0.1156 1.014 193.024839165766 1137.18030752972 9.21702780384933
-16.0472653526812 34.9597645271569 "Maize" 0.0205 18.338 6.13 0.0941 1.151 222 1057 10.2992596835902
-16.0543141979724 34.9603062495589 "Maize" 0.03011 26.921 5.93 0.1161 1.55 225 976 9.90493253921186
-15.8382969629019 35.0769716966897 "Maize" 0.01069 16.185 5.6 0.0676 0.8647 194.809304820858 1366.23951866442 8.92754888479293
-15.8274730760604 35.0889867357909 "Maize" 0.02546 17.138 7.45 0.0961 0.9868 195 1387 8.28958045987358
-15.8385036606341 35.0968476198613 "Maize" 0.01398 20.962 6.44 0.1014 1.48 197 1364 11.301988121268
-15.3816824778914 34.9725656211376 "Maize" 0.01794 24.257 8.13 0.0768 0.9538 234 957.029982509523 12.9679955928384
-15.4077252605929 35.0177498627454 "Maize" 0.00295 20.171 6.78 0.054 0.8477 233 914.954424423148 13.4365503819326
-15.5326708126813 35.0245497655123 "Maize" 0.02525 16.383 6.62 0.0861 1.202 227 884.231540131113 10.6934017209926
-15.5239113047719 34.8354563768953 "Maize" 0.01847 19.942 6.65 0.0675 0.7615 239.081562877842 855.982338286672 11.1145906321394
-15.59038863983 34.8646057862788 "Maize" 0.06372 24.843 7.06 0.102 1.0866 232 901.509915932615 10.1794580967182
-15.5203939229249 35.1107000559568 "Maize" 0.03706 20.298 5.66 0.0322 0.4196 214 1046 10.2764849680856
-15.5746611300855 35.0596957560628 "Maize" 0.02166 20.369 5.91 0.0616 0.8154 222.978680839309 858.063957482074 11.6681446849973
-15.6048063933849 35.0906056165695 "Maize" 0.01281 20.659 6.39 0.0689 0.8612 216.997328442192 846.00758220612 11.6070374378336
-15.6438557105138 35.0605916138738 "Maize" 0.01958 23.063 6.11 0.0812 1.076 214.044336664161 878.337144938877 11.9457768494145
-15.6394724780693 35.0624831579625 "Maize" 0.0211 22.694 6.71 0.075 0.8797 215.021898741232 881.240886153553 9.7251063159845
-15.6704773893579 35.0855991058051 "Maize" 0.00612 20.979 6.28 0.0984 1.192 206 899 10.4201503425025
-15.746600953862 35.0214760378003 "Maize" 0.00677 19.465 7.94 0.049 0.6209 206 912 10.3578811180963
-15.770472488366 35.0285149924457 "Maize" 0.01451 20.791 6.79 0.0583 0.7303 198 1012 9.51892942281463
-15.7647541863843 35.0403888802975 "Maize" 0.02495 17.716 7.52 0.0576 0.863 195.809784484578 1072.0827908614 9.73241833193162
-15.772746624425 35.0542185176163 "Maize" 0.02494 18.834 6.21 0.0754 0.9819 190.159715726797 1325.36587497953 6.89506850638988
-15.7902962760999 35.0650464277714 "Maize" 0.0115 27.561 6.07 0.0488 0.6371 192.72490588973 1213.91789507705 9.07179166283773
-15.7612915383651 35.0715912692248 "Maize" 0.01061 19.617 6.35 0.0701 0.6896 195.095505688445 1267.0758375877 10.9813430654803
-15.4926880868151 34.898968655616 "Maize" 0.0205 19.342 6.72 0.0555 0.6109 234 961.889485176536 11.6929530788047
-15.6789662875235 34.9970746412873 "Maize" 0.06498 24.262 6.61 0.0816 1.13 215.030595459295 951.305954592952 9.4367185531299
-15.7558580953627 35.0074537005275 "Maize" 0.01221 22.442 6.52 0.0598 0.6917 206.861425512556 915.138574487443 10.3524952498602
-15.7737754192203 35.0085911247879 "Maize" 0.01241 24.094 6.6 0.0466 0.6004 200.489425193621 978.341377904313 8.50797879911363
-15.7435106718912 34.9899764265865 "Maize" 0.00857 23.43 6.92 0.0693 0.8695 208.980165777832 1063.69887673128 13.5717047810467
-15.7806315645575 34.975621830672 "Maize" 0.00616 19.602 6.13 0.072 0.9693 205.745284958079 993.09430083841 12.0724309224442
-15.7818146282807 34.9768026731908 "Maize" 0.01019 27.986 7.16 0.0634 0.7979 204.056916873535 1026.86166252931 11.8979069449304
-15.8067305479198 34.9815169908106 "Maize" 0.004 20.948 6.12 0.083 1.07 204 996.174439947161 8.15873492236319
-15.812072334811 35.0055066682398 "Maize" 0.02313 24.368 6.64 0.0711 1.132 200 969.280085973916 9.74937963980211
-15.8265831274911 35.0105255842208 "Maize" 0.0151 21.948 6.64 0.0588 0.7177 197.386556708276 1048.18374342827 11.1812304129522
-15.8313681464642 35.0060494802892 "Maize" 0.00576 29.834 7.15 0.1129 1.4813 200 974 9.56616707802591
-15.6967593496665 34.7597059328109 "Maize" 0.03969 30.489 7.29 0.0773 0.9219 240.084170195569 898.56910667533 10.9116546518127
-15.717701241374 34.8264874052256 "Maize" 0.07173 26.656 6.27 0.075 0.9662 226.8398225664 1057.8743221248 8.02701285186644
-15.7916522584855 34.8223855532705 "Maize" 0.02941 30.157 6.46 0.0972 1.493 232.541754102333 1046.72597526484 8.60859716594374
-15.7580214226618 34.9009430129081 "Maize" 0.01298 23.678 6.79 0.0879 0.9606 220.72943078198 997.140327440389 8.95303627286143
-15.7544132648035 34.9005032144486 "Maize" 0.01471 25.271 6.11 0.0884 1.223 221.476582914092 971.663919601352 9.3333545507193
-15.7416001847013 35.0673774350434 "Maize" 0.01552 20.132 6.91 0.054 0.5629 200.728066319092 1032.04332428695 9.213104256197
-15.8443513372913 34.9955976661294 "Maize" 0.01435 22.174 6.43 0.0599 0.7228 202 960.11811481743 10.9523265982734
-15.9268772508949 34.8918236698955 "Maize" 0.06937 26.984 6.14 0.0665 0.8905 239 823.517581813599 11.0307137670915
-15.8957254886627 34.9536505155265 "Maize" 0.02645 19.924 5.36 0.0692 0.8958 211 1041 11.7665103597904
-15.8357500378042 34.8979048244655 "Maize" 0.02214 24.46 5.66 0.0863 1.155 224.958237465483 942 11.248673977945
-15.9000729722902 35.0187679287046 "Maize" 0.01999 25.723 5.77 0.0789 0.9037 201.822448102184 928.083693649757 7.50307856831348
-15.8471540361642 35.0457798689603 "Maize" NA 15.753 5.82 0.0688 0.7824 195.635923231214 1218.06549297978 9.34880372785392
-15.8501253370195 35.042124018073 "Maize" 0.01106 22.992 5.88 0.0786 0.9202 196.44537818304 1182.09043890776 9.65126835356981
-15.8475156314671 35.0114175025373 "Maize" 0.00483 18.305 5.66 0.1379 2.003 194.200177380482 1220.59905397076 8.21187220940014
-15.9847124665975 34.9240795802325 "Maize" 0.0226 29.364 6.86 0.0874 1.331 237.823734000329 872.526479328611 10.7861731586793
-15.7279918296262 35.1690142974257 "Maize" 0.01059 24.933 5.51 0.0401 0.4811 201.198865767267 1316.89368668545 16.6676796156104
-15.7063723867759 35.1793361920863 "Maize" 0.01911 31.086 5.92 0.0941 1.243 195 1434 9.24957001853828
-15.697660613805 35.1889389194548 "Maize" 0.0246 21.646 7.08 0.1046 1.7612 196.804971886558 1418.87024900478 9.48890668025736
-15.7728904578834 35.1770708989352 "Maize" 0.01352 23.253 5.96 0.087 1.081 205 1145.23147241057 11.4501259651118
-15.7350106257945 35.1342935208231 "Maize" 0.01701 27.123 6 0.0328 0.3983 199.075793203345 1315.93132198345 9.70093356467821
-15.6753453053534 35.1504983380436 "Maize" 0.00597 18.676 6.79 0.129 1.668 197.813190420439 1111.38438909826 8.85784363935088
-15.6569142965599 35.1991044078022 "Maize" 0.02965 26.299 5.47 0.1156 1.612 205.048190715799 1265.29951819679 9.4511163415747
-15.663006096147 35.1996795739978 "Maize" 0.01996 17.808 6.21 0.0683 1.039 207.435080114936 1230.43508011494 13.9614483527011
-15.6872704485431 35.2179071120917 "Maize" 0.00636 34.058 5.69 0.1004 1.362 207.831786253754 1291.34570996997 10.8306588201608
-15.6884328089654 35.3098530694842 "Maize" 0.01468 25.419 5.85 0.0751 1.038 214.989276167732 1242.01864268687 9.80587001224582
-15.6319447327405 35.142113501206 "Maize" 0.01072 31.598 6.07 0.0555 0.6247 201.087186602283 1074.14077278295 10.8060004685274
-15.595447118394 35.1145579107105 "Maize" 0.01059 27.651 5.91 0.0687 0.8025 208 909 9.66862646681634
-15.5486416909843 35.1622865628451 "Maize" 0.00888 23.228 6.16 0.0488 0.6383 203.990768559338 1084.54465499908 10.0100991141097
-15.606063385494 35.1880449894815 "Maize" 0.02219 21.95 6.62 0.0478 0.6086 201.162062879453 1309.75088533248 9.45658119672389
-15.6062732264399 35.2357666846364 "Maize" 0.01903 27.73 6.31 0.0663 0.8949 210 1212.66744679946 10.4868190416869
-15.804795208387 35.1263758912682 "Maize" 0.0088 18.429 5.46 0.0283 0.3451 200.899504689738 1316.80891558472 8.76887601954976
-15.8005809132009 35.1278503518551 "Maize" 0.0058 19.407 5.67 0.0447 0.572 201 1308.69492218358 9.27260546538533
-15.7713266881182 35.2660423703491 "Maize" 0.01386 27.487 5.36 0.0534 0.7186 212.569752460702 1275.41851476421 11.2872086294078
-15.7334562018513 35.2800131589174 "Maize" 0.04756 24.904 6.3 0.1022 1.583 214 1243.71520485518 12.1141099077424
-15.7146793138235 35.2586343605071 "Maize" 0.01077 25.301 5.62 0.0948 1.582 212 1251.94005978803 11.1986601074124
-15.8213884849101 35.2351414784789 "Maize" 0.12891 22.475 6.23 0.0429 0.5408 208 1364 9.55237244878625
-15.7976090256124 35.209046350792 "Maize" 0.03728 19.756 6.38 0.0679 0.8504 206 1305.64404320777 10.3851097273684
-15.8108279155567 35.2806929312646 "Maize" 0.01786 22.604 6.47 0.0972 1.73 212.234933524961 1369.18079770047 9.73148699788912
-15.8545994292944 35.2997448295354 "Maize" 0.01945 20.805 6.38 0.0625 0.7756 215.88635960691 1354.45456157236 10.717831628461
-15.8564319647848 35.3043230250477 "Maize" 0.0471 24.722 6.26 0.0539 0.7588 216 1353.49472269098 10.7704107512246
-15.8507685642689 35.2445468958467 "Maize" 0.00828 24.706 6.17 0.084 1.253 211 1324.9538819834 11.2706016854196
-15.8904842007905 35.2566277328878 "Maize" 0.0195 20.655 5.93 0.0563 0.6672 213.393150486355 1363.8465824912 11.2358191051548
-15.9182008914649 35.2707412652671 "Maize" 0.02403 22.371 6.22 0.0455 0.5842 215.003763962772 1355.81000228684 9.33911955962769
-15.9516109898686 35.2766395267099 "Maize" 0.30693 24.982 5.86 0.0522 0.6837 216.348038821655 1359.67464980066 10.2359352091863
